point,eta_s,delta_pi,round,mean_cooperation,std,n,ci95
colapso,0.1,0.4,0,0.44967205999698834,0.0016748335904655687,11,0.0009897634024983433
colapso,0.1,0.4,1,0.38055192510967684,0.002622911243899756,11,0.001550041491878446
colapso,0.1,0.4,2,0.32540078317623694,0.002954055712802838,11,0.001745735367452623
colapso,0.1,0.4,3,0.2822344920304558,0.002755737016860473,11,0.00162853650758238
colapso,0.1,0.4,4,0.2461093509808032,0.00232025693704168,11,0.0013711842261525079
colapso,0.1,0.4,5,0.21452162226795715,0.0021439688317431527,11,0.0012670046133757224
colapso,0.1,0.4,6,0.189668591447042,0.0027636476032258835,11,0.0016332113653839899
colapso,0.1,0.4,7,0.16853369339914764,0.0031753095949746935,11,0.001876488056245728
colapso,0.1,0.4,8,0.15046459413968297,0.0030267653989345376,11,0.001788704046102239
colapso,0.1,0.4,9,0.13579227190299742,0.002668386703716043,11,0.0015769157712660674
colapso,0.1,0.4,10,0.12333831079269646,0.004023687904759863,11,0.002377847598637845
colapso,0.1,0.4,11,0.11239437277615229,0.0038227069501295427,11,0.002259075444422228
colapso,0.1,0.4,12,0.10262786968019727,0.002594924691998622,11,0.0015335024966065852
colapso,0.1,0.4,13,0.09540828522616698,0.00253373815684149,11,0.001497343565015434
colapso,0.1,0.4,14,0.08841795631238444,0.0019698535209194037,11,0.0011641090400787563
colapso,0.1,0.4,15,0.08336224262747155,0.002876904016770437,11,0.0017001416287025421
colapso,0.1,0.4,16,0.07867241461502962,0.0037358431359219603,11,0.002207742210605141
colapso,0.1,0.4,17,0.07405632805933088,0.002351674553756001,11,0.001389750851156077
colapso,0.1,0.4,18,0.06953696545050203,0.002360091147385683,11,0.001394724740141695
colapso,0.1,0.4,19,0.06709935794834386,0.002559832080211039,11,0.001512764088299539
colapso,0.1,0.4,20,0.06548950204417908,0.0031119486439756387,11,0.0018390441270080043
colapso,0.1,0.4,21,0.06347930233581667,0.003237461535785892,11,0.0019132175061202478
colapso,0.1,0.4,22,0.06298457191194698,0.002794673844239962,11,0.0016515467021288729
colapso,0.1,0.4,23,0.061551409026420534,0.002648837172339604,11,0.0015653627365033638
