run_id,seed,b,social_adaptation_rate,final_mean_cooperation,final_std_cooperation_between_communities,final_mean_payoff,final_std_payoff_between_communities
0,42,1.05,0.03,0.2917616784240583,0.04052416790332135,1.7788673357600189,0.2291596477305701
1,43,1.05,0.03,0.3818503045426943,0.11293455834283944,2.344635841236695,0.6680877731936724
2,44,1.05,0.03,0.29215617046942344,0.09652819153676433,1.7856621541109494,0.5888022664146061
3,45,1.05,0.03,0.35690145947918167,0.050647227878294024,2.1971503832746206,0.3352993158174388
4,46,1.05,0.03,0.3178063301529896,0.11537916089403931,1.9531188257909224,0.7348242888159358
5,47,1.05,0.03,0.32987097670196264,0.03466276633671081,2.063902057999921,0.20971966776183806
6,48,1.05,0.03,0.3188405797101449,0.09743755481811217,1.9553777432712216,0.6185414847892443
7,49,1.05,0.03,0.3257580401887802,0.10581109060156559,1.9925264073371285,0.6487924809957376
8,50,1.05,0.03,0.32551369685769427,0.09297482895282408,2.0271216136553276,0.5433606625062805
9,51,1.05,0.03,0.3509719644961856,0.09404257625901155,2.158255496265512,0.6056054830917493
10,52,1.05,0.03,0.3409130624089297,0.05121904789806164,2.0875556462453178,0.31629236152033413
11,53,1.05,0.03,0.3989599702622958,0.08549569873442206,2.4800557171510667,0.5335723045552802
12,54,1.05,0.03,0.3028692728036991,0.054734185613726394,1.8661165018473043,0.3338980096972611
13,55,1.05,0.03,0.32246882525274023,0.05920201930633837,1.9832964822484598,0.33050368113774387
14,56,1.05,0.03,0.29877371638310496,0.06061219020784343,1.8318855956175575,0.3678506833661321
15,57,1.05,0.03,0.3748333541116326,0.09153543686562718,2.3150558955891163,0.5575960566880639
16,58,1.05,0.03,0.2792392894792511,0.06908629058593412,1.7531333656212076,0.42005033033214134
17,59,1.05,0.03,0.3249282257044315,0.11646374587791875,1.9859850324119894,0.6963089164703696
18,60,1.05,0.03,0.35799197421915474,0.05560782335905753,2.201843617279723,0.3242023749342311
19,61,1.05,0.03,0.30027454788252106,0.07736019732221547,1.8387510698468332,0.44740760667875407
20,62,1.05,0.03,0.3315406815406815,0.03800430558512719,2.055658955242289,0.2266918607257602
21,63,1.05,0.03,0.41298190806745394,0.07004024831584311,2.5540005715004765,0.4120990053230438
22,64,1.05,0.03,0.34567524802790384,0.04077046102468971,2.102492377256506,0.2430544367366149
23,65,1.05,0.03,0.35305842524082093,0.07296530225674855,2.172195570989809,0.4642301407864017
24,66,1.05,0.03,0.3461189938027171,0.0730700059123561,2.1214813486418844,0.46929541837571165
25,67,1.05,0.03,0.3146414982741933,0.11633400867814604,1.9448857903012045,0.7030902992960331
26,68,1.05,0.03,0.2809627280595023,0.11367057376464512,1.7239538793087186,0.7099318134696424
27,69,1.05,0.03,0.4314033294454586,0.09437993675838502,2.6483003347262946,0.5746456472839899
28,70,1.05,0.03,0.4007021205193455,0.08024650892806935,2.4489338490011567,0.482195077728766
29,71,1.05,0.03,0.34436151095137274,0.0721544249497666,2.111668641025905,0.4526551656884247
0,42,1.05,0.05,0.33510659366554857,0.10544750761297046,2.0984767659903034,0.6727255579433749
1,43,1.05,0.05,0.29992430425555333,0.06635663206701876,1.8476682361103898,0.3953986285384176
2,44,1.05,0.05,0.3230096209011871,0.07900314050922239,1.9828092222369336,0.44383829655121587
3,45,1.05,0.05,0.2530489731176179,0.06547867437408977,1.5390202463919411,0.4148433396721933
4,46,1.05,0.05,0.30280599506689826,0.1280591648945582,1.8731122256854396,0.785308831073315
5,47,1.05,0.05,0.32214108989242546,0.08329877522004374,2.0001400429162692,0.5009584969024334
6,48,1.05,0.05,0.32953209109730847,0.11976172611450847,2.0281138198757764,0.711376275948333
7,49,1.05,0.05,0.35989064856711916,0.09518029942000988,2.1808585729577197,0.5892837434708592
8,50,1.05,0.05,0.36444828191252343,0.10744355148347552,2.263054982459994,0.6679512391273178
9,51,1.05,0.05,0.37096084258504847,0.17098314160842523,2.2968894604602315,1.0648568761651607
10,52,1.05,0.05,0.25744526384951794,0.10644445419698338,1.6184456158492346,0.6553450960006846
11,53,1.05,0.05,0.34823157462692345,0.12435409287249063,2.179847208992558,0.7596710232179265
12,54,1.05,0.05,0.3189934293489082,0.08075030252509541,1.959006017565983,0.5026808224528383
13,55,1.05,0.05,0.2954659971702113,0.09533382400936422,1.8196771009306734,0.5795747969839914
14,56,1.05,0.05,0.2855892149963434,0.09806872049836302,1.7776719142829545,0.5894565401912759
15,57,1.05,0.05,0.403812055478603,0.07997749806510644,2.50382598217651,0.5257286390145419
16,58,1.05,0.05,0.26777544164362277,0.11887236170144731,1.6278041459154082,0.706694195173838
17,59,1.05,0.05,0.32414132194056217,0.14218237347227766,1.9724878447074612,0.8383881670681602
18,60,1.05,0.05,0.345298771546236,0.1945906872535866,2.138851584520956,1.1978539301179234
19,61,1.05,0.05,0.3445242349480431,0.07080425557023114,2.109479821107065,0.46251362839996485
20,62,1.05,0.05,0.30317861151194486,0.06895863925583785,1.8904390516890515,0.44868821763090266
21,63,1.05,0.05,0.28465582146517043,0.0961864519974006,1.7840580808972368,0.6506101216743373
22,64,1.05,0.05,0.32911079542173405,0.0744679272794219,2.050739001882587,0.4807521961191447
23,65,1.05,0.05,0.33437735585648476,0.11082900320352206,2.0332186234817815,0.6810712450787128
24,66,1.05,0.05,0.29433158973355983,0.08389784744249398,1.8328993839718764,0.5429781301480406
25,67,1.05,0.05,0.36409361286319664,0.0916608902545166,2.238830646415707,0.5593939439003704
26,68,1.05,0.05,0.3350823486307357,0.185602025635072,2.0616579555289234,1.1227310637131074
27,69,1.05,0.05,0.2920515652993626,0.06385942367061957,1.793144367927247,0.4047102869406293
28,70,1.05,0.05,0.2814850014398157,0.10682040236312046,1.7363129408211957,0.6065476881633591
29,71,1.05,0.05,0.3085766633547376,0.07487754335417189,1.9071839253757763,0.4761500352288326
0,42,1.05,0.075,0.3217698509393379,0.11169611465488931,1.9864514424740158,0.6689593484919439
1,43,1.05,0.075,0.26042772955781957,0.09041907233554378,1.5745956364056866,0.530048247115573
2,44,1.05,0.075,0.2549766832899363,0.11263482237153936,1.5339966643129295,0.6588320900606273
3,45,1.05,0.075,0.29557643531511646,0.04926862332037302,1.8245401385977176,0.3562983724656533
4,46,1.05,0.075,0.24266680744248018,0.056067653889360164,1.5109815479589492,0.3332972089423477
5,47,1.05,0.075,0.2662152001758607,0.11506101478197095,1.6299794675401766,0.6991025669680516
6,48,1.05,0.075,0.2808633540372671,0.12330499284948332,1.7181396997929608,0.7473615308660467
7,49,1.05,0.075,0.27527039848197343,0.0516056548279556,1.7342104376490053,0.36962194194880743
8,50,1.05,0.075,0.31046819635213313,0.06598947133668671,1.924266885175129,0.4458070831787529
9,51,1.05,0.075,0.2513331654848888,0.07115155843364708,1.548488531737347,0.42434877338623256
10,52,1.05,0.075,0.2907947806624184,0.09948112496468162,1.8074996601914122,0.5988147944357457
11,53,1.05,0.075,0.2664904397927654,0.10109199856274939,1.6659195990056457,0.6160408831402084
12,54,1.05,0.075,0.22427548063095948,0.028525246796670598,1.4110580274772682,0.18818555459420636
13,55,1.05,0.075,0.23321980261943312,0.05208434923421537,1.4410864659414382,0.3130475086361161
14,56,1.05,0.075,0.2510081549861324,0.0968036540654649,1.564443083440273,0.5477062205832854
15,57,1.05,0.075,0.27381211127684735,0.08617636336390694,1.6388746249003312,0.5193904050179359
16,58,1.05,0.075,0.2417418751461305,0.06607129591816105,1.4885103464764318,0.36503917747510783
17,59,1.05,0.075,0.29496519689017375,0.04273144595773604,1.809306815656464,0.27111165382343905
18,60,1.05,0.075,0.18189867378508354,0.09106073580577188,1.1235059666499827,0.5826340174547516
19,61,1.05,0.075,0.29219067205419613,0.10445704990895047,1.7703884771630514,0.6227623010240425
20,62,1.05,0.075,0.2558860892194226,0.049990120403328814,1.5719651027984363,0.31386791069931463
21,63,1.05,0.075,0.248528400305621,0.05662850587606593,1.5412471368396468,0.32344595688187416
22,64,1.05,0.075,0.24745157825439174,0.07524122723814021,1.5144399882193964,0.5090607708203966
23,65,1.05,0.075,0.2561821164316628,0.08023063608984282,1.5973959060449534,0.4875140907625077
24,66,1.05,0.075,0.21622708687488396,0.06503708263971777,1.3317258100787501,0.39740729105163913
25,67,1.05,0.075,0.254190324893759,0.03774705560063319,1.542220845963131,0.22354441100272013
26,68,1.05,0.075,0.18094039061780998,0.05500431216816488,1.1175347291476325,0.3719460679915834
27,69,1.05,0.075,0.2533184281228656,0.08624544720379256,1.604132879941723,0.5196591647121609
28,70,1.05,0.075,0.2902525891836043,0.05709730624985646,1.8098232934565135,0.3758247171540946
29,71,1.05,0.075,0.24148518949634643,0.02182807491073761,1.4695406032830238,0.14097398233822292
