run_id,seed,final_mean_cooperation,final_std_cooperation_between_communities,final_mean_payoff,expected_global_cooperation,observed_global_cooperation,num_intercommunity_edges,corr_size_cooperation,corr_degree_cooperation,intercommunity_mutual_coop_rate,mean_external_payoff,mean_b_eff,std_b_eff,corr_climate_cooperation,std_climate,avg_degree,std_b_base,b,Tin,social_adaptation_rate,epsilon_perception,epsilon_execution,delta_D,delta_pi,rho,num_epochs,rounds_per_epoch,het_b_lo,het_b_hi,spread,base_prob
5,501000,0.3012564656543307,0.0706709753902421,3.3064825308089847,0.3566034807890158,0.31,157,0.0908557021054984,-0.0763341755515373,0.0891719745222929,1.285,2.397299662386253,0.567501400002231,-0.0977792644059189,0.2603202780609422,3.14,0.567501400002231,2.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120,1.5,3.5,1.0,0.02
0,1000,0.27512307581653,0.0523737398469333,3.280388896980107,0.3364866812497096,0.33,156,0.2480747627067208,0.0464119230594368,0.1346153846153846,1.515,2.561459854608409,0.5310412270497411,0.0684929802461471,0.2852733483821543,3.12,0.5310412270497411,2.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120,1.5,3.5,1.0,0.02
8,801000,0.2819976490361988,0.0745933506902228,3.323405742754558,0.3163020440875396,0.35,151,-0.0790044520921067,-0.0035474172871451,0.1059602649006622,1.37,2.5923046925232427,0.5641453579122263,-0.0521231567136755,0.3008064856762208,3.02,0.5641453579122263,2.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120,1.5,3.5,1.0,0.02
9,901000,0.2914129521723358,0.0653168924264522,3.25195910058013,0.3565596155272054,0.36,146,-0.1283991226815368,-0.0148637940267294,0.1575342465753424,1.315,2.415823453666981,0.580921017217269,0.0683779062637502,0.320397802069189,2.92,0.580921017217269,2.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120,1.5,3.5,1.0,0.02
1,101000,0.2912012828733423,0.0696260757448245,3.312348667615516,0.3380984485910102,0.37,164,-0.0999679317331135,0.1347343351849239,0.1402439024390244,1.525,2.501048631120868,0.5644403545666535,0.0023622542435589,0.2908781941854124,3.28,0.5644403545666535,2.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120,1.5,3.5,1.0,0.02
4,401000,0.2893617488154579,0.068588777269439,3.3716954676138404,0.3427350529934786,0.43,155,0.0355159579973217,-0.1024453673704682,0.1225806451612903,1.715,2.5743810726353025,0.6153340655678885,-0.0852182821287414,0.3360663250434091,3.1,0.6153340655678885,2.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120,1.5,3.5,1.0,0.02
3,301000,0.2818108988068086,0.0587887628872999,3.240909222993208,0.3304441063082939,0.42,164,-0.0706538153611999,-0.12284262300098,0.2073170731707317,1.895,2.4786476484104125,0.5742681430369957,0.036300009190224,0.2958942121148447,3.28,0.5742681430369957,2.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120,1.5,3.5,1.0,0.02
7,701000,0.2857687556300361,0.0684722399942298,3.2401402996762894,0.3370652139828709,0.39,137,-0.1653752781311313,-0.1780393873508635,0.1313868613138686,1.26,2.463051258645014,0.5746457261855316,0.1586450102304258,0.2976085908235925,2.74,0.5746457261855316,2.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120,1.5,3.5,1.0,0.02
2,201000,0.2812493403666187,0.0654222054083918,3.240646924780956,0.317506760489019,0.27,152,0.0604491190378873,0.0576857804655793,0.1052631578947368,1.16,2.5010556220309907,0.601630330145316,0.0114702522157538,0.3109295824316543,3.04,0.601630330145316,2.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120,1.5,3.5,1.0,0.02
6,601000,0.2803839922556026,0.0660326184317072,3.167753005476506,0.3335833042673297,0.34,165,-0.1101231307586947,0.251315389174997,0.1333333333333333,1.7,2.440948290254321,0.5743939504550846,0.109403167194585,0.3183116172342412,3.3,0.5743939504550846,2.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120,1.5,3.5,1.0,0.02
