run_id,seed,final_mean_cooperation,final_std_cooperation_between_communities,final_mean_payoff,expected_global_cooperation,observed_global_cooperation,num_intercommunity_edges,corr_size_cooperation,corr_degree_cooperation,intercommunity_mutual_coop_rate,mean_external_payoff,mean_b_eff,std_b_eff,b,Tin,social_adaptation_rate,epsilon_perception,epsilon_execution,delta_D,delta_pi,rho,num_epochs,rounds_per_epoch
5,501000,0.3720318558400105,0.0674796984722232,2.834073611410757,0.4286713976731592,0.35,1134,0.0323420954204633,0.0914721556571246,0.128747795414462,10.75,1.5,0.0,1.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120
8,801000,0.3595717170782758,0.0604776552985686,2.741935620751552,0.4455425466290541,0.41,1097,0.0826620117226768,0.0516935498654688,0.1604375569735642,11.455,1.5,0.0,1.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120
0,1000,0.3630114898380071,0.0597251708304283,2.7726731991899016,0.3953989424387045,0.41,1123,-0.0458493193831326,0.0293214012696928,0.1540516473731077,11.755,1.5,0.0,1.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120
1,101000,0.3730464814185106,0.0665124433221442,2.844556408955337,0.4534917228351885,0.48,1151,0.0724064242212374,0.0908208977668926,0.208514335360556,13.425,1.5,0.0,1.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120
9,901000,0.3725333507284042,0.0648438676396866,2.84128068946613,0.3941514384770723,0.43,1055,-0.1061629576791479,-0.0868741889671241,0.2,11.915,1.5,0.0,1.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120
7,701000,0.3627771864811149,0.0652291620108826,2.7516713790113294,0.4185923138610121,0.48,1098,0.0050562519720578,-0.1471925833495997,0.2258652094717668,13.345,1.5,0.0,1.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120
4,401000,0.372055819216976,0.0632233129396778,2.8241538195058253,0.4305540178577962,0.53,1155,0.0440140082546771,0.0162366400743186,0.2883116883116883,15.36,1.5,0.0,1.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120
2,201000,0.3619239244579531,0.0629462031343667,2.759312988195253,0.3861407359633777,0.37,1106,0.1005922281375807,0.207320362725016,0.1446654611211573,10.925,1.5,0.0,1.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120
3,301000,0.3704035457569836,0.0716719724588055,2.8255838362204275,0.4061694513134292,0.55,1150,-0.2056874646100112,-0.0461411808289645,0.2904347826086956,15.365,1.5,0.0,1.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120
6,601000,0.3575223548951078,0.0612378633457651,2.7384324826462656,0.4379940599103269,0.41,1133,0.0614540467017732,-0.272261256758846,0.174757281553398,11.97,1.5,0.0,1.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120
13,1301000,0.3679334669138335,0.0683771077439085,2.801080610569853,0.4077917281473739,0.38,1101,-0.0190051018021729,-0.0334087363726958,0.1353315168029064,10.825,1.5,0.0,1.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120
10,1001000,0.3767178836433728,0.0636875106604556,2.857357272247361,0.4162720712959813,0.42,1170,-0.0851405742489557,-0.0509770050367543,0.1692307692307692,12.21,1.5,0.0,1.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120
12,1201000,0.3634131944335351,0.0737138636512048,2.76407322552361,0.4201349318549243,0.4,1108,-0.0483303232340828,0.0991927385915437,0.1561371841155234,11.785,1.5,0.0,1.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120
11,1101000,0.3770142268185087,0.0780875641827932,2.8664319831659184,0.4121686562942351,0.38,1069,-0.052857627819092,0.1070041927192819,0.1459307764265668,10.89,1.5,0.0,1.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120
14,1401000,0.3648053151335964,0.0534820502704619,2.791737978189565,0.4148757223225318,0.43,1175,-0.088752075630706,-0.143462800020756,0.1897872340425531,12.905,1.5,0.0,1.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120
5,501000,0.3683576701994017,0.0707203871403793,2.8218089821203955,0.3917313231928886,0.32,1134,0.0155428073213331,-0.0718382155959228,0.1022927689594356,9.85,1.510257583296064,0.0137765962300018,1.5,800,0.2,0.02,0.01,0.05,0.1,0.05,10,120
9,901000,0.3745546949674773,0.0586079202169845,2.859623450589796,0.4131287349456494,0.4,1055,-0.2891205570852397,-0.2204984893892857,0.1545023696682464,11.165,1.5093058288548065,0.0127670388269477,1.5,800,0.2,0.02,0.01,0.05,0.1,0.05,10,120
8,801000,0.3692108093091352,0.0625658762206942,2.811421133450089,0.4080681452415511,0.43,1097,-0.03194396443147,-0.0258102538713897,0.1722880583409298,11.94,1.5054614538197633,0.0132408685121081,1.5,800,0.2,0.02,0.01,0.05,0.1,0.05,10,120
3,301000,0.3638178487101111,0.0688095285128066,2.8017089094754697,0.3872910010559673,0.49,1150,-0.0900783181519342,-0.1351309630425259,0.2208695652173913,13.93,1.5194688877397562,0.0133198151850801,1.5,800,0.2,0.02,0.01,0.05,0.1,0.05,10,120
2,201000,0.367517432404993,0.0728917144852655,2.8083096136685266,0.3932117098572222,0.38,1106,-0.0693771340511843,-0.0733174390000364,0.1274864376130199,10.605,1.5062831783126975,0.0139975686909451,1.5,800,0.2,0.02,0.01,0.05,0.1,0.05,10,120
4,401000,0.3556689758606904,0.066622293761957,2.7465838392779927,0.373924830625512,0.45,1155,-0.1054816635189754,-0.0267768159045877,0.206060606060606,13.625,1.5256948872358405,0.0122072348584803,1.5,800,0.2,0.02,0.01,0.05,0.1,0.05,10,120
7,701000,0.3534420757598092,0.0612150977604263,2.7354688298785708,0.3859974584063028,0.48,1098,0.0041044656644519,0.2322003185312555,0.2313296903460837,13.375,1.5304166615997838,0.0143690830930764,1.5,800,0.2,0.02,0.01,0.05,0.1,0.05,10,120
0,1000,0.3612940989491719,0.0705807416993715,2.776409144313872,0.3855227734422601,0.4,1123,0.0490261743013065,0.0064164608694715,0.1424755120213713,11.405,1.5107550288739646,0.0135607886725783,1.5,800,0.2,0.02,0.01,0.05,0.1,0.05,10,120
1,101000,0.3777029403162854,0.0640093743948671,2.857907076479809,0.4678162956942377,0.49,1151,-0.0467618646143399,0.0848675135359231,0.2284969591659426,13.795,1.499699064083357,0.0129932140587557,1.5,800,0.2,0.02,0.01,0.05,0.1,0.05,10,120
6,601000,0.3536041499796969,0.0527289066488801,2.733656120789854,0.419741596121079,0.38,1133,0.1046313198466089,0.0634061981881899,0.1526919682259488,11.23,1.519433830484212,0.0135883535567094,1.5,800,0.2,0.02,0.01,0.05,0.1,0.05,10,120
10,1001000,0.3766928011335071,0.0737141311693035,2.8910141369766977,0.3733590485448506,0.4,1170,-0.1356004319279909,-0.1367441859575721,0.1418803418803418,11.675,1.5237246294431812,0.0131589787909862,1.5,800,0.2,0.02,0.01,0.05,0.1,0.05,10,120
13,1301000,0.3651848730288236,0.0663415722220911,2.7943766666410603,0.444368472308447,0.4,1101,-0.0639101561364384,0.0553047436706433,0.1580381471389645,11.415,1.5053716597442983,0.0141473202762979,1.5,800,0.2,0.02,0.01,0.05,0.1,0.05,10,120
12,1201000,0.366047633271788,0.0617708309906492,2.805795751491936,0.3781158925595477,0.36,1108,-0.0564085311127905,-0.0466668779113294,0.1362815884476534,10.73,1.5127466221912258,0.016899663166601,1.5,800,0.2,0.02,0.01,0.05,0.1,0.05,10,120
11,1101000,0.3703698607444668,0.0641297072021025,2.8225778954151,0.4376550429152117,0.42,1069,-0.064867226080116,0.0255702897797206,0.1852198316183348,11.85,1.5048218278964007,0.0144911811824016,1.5,800,0.2,0.02,0.01,0.05,0.1,0.05,10,120
14,1401000,0.3653527335233385,0.0727726305802119,2.81696006615884,0.3751488386468715,0.32,1175,-0.0876523171040334,-0.2286817353903344,0.1038297872340425,10.24,1.52858710348433,0.0120714226128265,1.5,800,0.2,0.02,0.01,0.05,0.1,0.05,10,120
