run_id,seed,final_mean_cooperation,final_std_cooperation_between_communities,final_mean_payoff,expected_global_cooperation,observed_global_cooperation,num_intercommunity_edges,corr_size_cooperation,corr_degree_cooperation,intercommunity_mutual_coop_rate,mean_external_payoff,mean_b_eff,std_b_eff,corr_climate_cooperation,std_b_base,b,Tin,social_adaptation_rate,epsilon_perception,epsilon_execution,delta_D,delta_pi,rho,num_epochs,rounds_per_epoch,spread,het_b_lo,het_b_hi
5,501000,0.2690198287990079,0.0548823024736275,3.158894361510688,0.3445293763560693,0.29,1134,-0.0769469502164302,-0.1137774424891823,0.0864197530864197,9.175,2.5,0.0,0.1597571582391096,0.0,2.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120,0.0,,
0,1000,0.2717237079175629,0.0475939945156657,3.185964497493457,0.3308448421083769,0.27,1123,0.0887126002583395,0.0191078754001547,0.0587711487088156,7.83,2.5,0.0,-0.0381362257847685,0.0,2.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120,0.0,,
8,801000,0.2713345822751098,0.0604143528508605,3.168604170020286,0.3601468383285816,0.37,1097,-0.0126585092497676,-0.0659753311839585,0.1175934366453965,10.485,2.5,0.0,-0.0239266593410017,0.0,2.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120,0.0,,
9,901000,0.274689150492474,0.0625921606505501,3.1980810684782583,0.350630125729271,0.37,1055,0.1369282830391213,-0.0211741157527667,0.15260663507109,10.78,2.5,0.0,-0.0229844160538905,0.0,2.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120,0.0,,
1,101000,0.2704161832919115,0.0566205812730319,3.147057756695551,0.3231708179552271,0.35,1151,-0.1328084892991346,0.0531381894148285,0.1146828844483058,10.23,2.5,0.0,0.1028040309255231,0.0,2.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120,0.0,,
4,401000,0.2817518573124467,0.0592582364414841,3.277623020798714,0.3283215318180589,0.41,1155,-0.088465302844911,0.0789477287987342,0.1705627705627705,12.775,2.5,0.0,-0.1187383471454891,0.0,2.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120,0.0,,
3,301000,0.2697913862502817,0.0523495519499091,3.174631712745664,0.3719685980826959,0.47,1150,-0.0076169354505785,-0.1185983382177246,0.2,13.36,2.5,0.0,0.0426809100092508,0.0,2.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120,0.0,,
7,701000,0.2819112294825192,0.0640919493794262,3.256116366909968,0.3390785312356196,0.38,1098,-0.1686179057236775,-0.1541945906972765,0.1357012750455373,10.87,2.5,0.0,-0.0014646867521653,0.0,2.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120,0.0,,
2,201000,0.2746746974917711,0.0542233710520243,3.204813245394869,0.3124673649797174,0.27,1106,-0.07486333482284,-0.101869236652848,0.0759493670886076,7.92,2.5,0.0,0.1283946175854604,0.0,2.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120,0.0,,
10,1001000,0.2727589266387595,0.0453396856563137,3.196434288252903,0.3789084369921878,0.4,1170,0.00572239997577,-0.025410555678631,0.1512820512820512,11.985,2.5,0.0,-0.1777166775124363,0.0,2.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120,0.0,,
6,601000,0.2703865611556353,0.0556700388820136,3.158239002181028,0.3576463688163862,0.34,1133,0.0305307809967838,0.0365002386740119,0.11738746690203,10.325,2.5,0.0,0.0911170454499259,0.0,2.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120,0.0,,
5,501000,0.2687921340060218,0.0512128787619777,3.182845983894529,0.3492811154738743,0.29,1134,-0.0178544797448828,0.1042510292364607,0.0908289241622574,9.425,2.523965890958687,0.0222773332622733,0.2266999492418882,0.0,2.5,800,0.2,0.02,0.01,0.05,0.1,0.05,10,120,0.0,,
