run_id,seed,final_mean_cooperation,final_std_cooperation_between_communities,final_mean_payoff,expected_global_cooperation,observed_global_cooperation,num_intercommunity_edges,corr_size_cooperation,corr_degree_cooperation,intercommunity_mutual_coop_rate,mean_external_payoff,corr_climate_cooperation,std_climate,avg_degree,channel,b,Tin,social_adaptation_rate,epsilon_perception,epsilon_execution,delta_D,delta_pi,rho,num_epochs,rounds_per_epoch,het_b_lo,het_b_hi,spread,eta_s,rho_s
5,501000,0.1895850832861234,0.0467137404442521,2.3629111492758885,0.3103780224037415,0.26,157,-0.0276739784651279,0.0267696758595504,0.0573248407643312,1.08,0.0878419011818642,0.2572937832622239,3.14,social,2.5,800,0.1,0.02,0.01,0.05,0.1,0.0,10,120,1.5,3.5,1.0,0.1,0.0
0,1000,0.1810450718147175,0.0431740059139388,2.268630636069405,0.2731021872690072,0.25,156,0.0934648471622942,-0.0108541113436757,0.0833333333333333,1.295,0.1026022262101385,0.2543861279214818,3.12,social,2.5,800,0.1,0.02,0.01,0.05,0.1,0.0,10,120,1.5,3.5,1.0,0.1,0.0
8,801000,0.1875291167251797,0.0511659869906666,2.3692980386165576,0.2720598351820235,0.27,151,-0.0109402712472854,0.1359696798701432,0.0529801324503311,1.09,-0.0430655219353495,0.2722812369563111,3.02,social,2.5,800,0.1,0.02,0.01,0.05,0.1,0.0,10,120,1.5,3.5,1.0,0.1,0.0
9,901000,0.1820328824586938,0.0428307203973817,2.2946358565763902,0.2685646019310352,0.26,146,0.0744506187995495,0.0588685240586922,0.0958904109589041,1.06,0.0476072481669098,0.3135057501768533,2.92,social,2.5,800,0.1,0.02,0.01,0.05,0.1,0.0,10,120,1.5,3.5,1.0,0.1,0.0
1,101000,0.1815155864842034,0.0466665396249359,2.278980042876165,0.2857039736268006,0.27,164,0.0379112481815855,-0.0054486841976747,0.0792682926829268,1.19,-0.0085051572337691,0.2900025002031934,3.28,social,2.5,800,0.1,0.02,0.01,0.05,0.1,0.0,10,120,1.5,3.5,1.0,0.1,0.0
3,301000,0.1792402924681169,0.0438907235075016,2.268091260903489,0.2907938884834738,0.39,164,0.0937556633916435,-0.1180176784486955,0.1951219512195122,1.78,0.0010131912936307,0.2883406846475662,3.28,social,2.5,800,0.1,0.02,0.01,0.05,0.1,0.0,10,120,1.5,3.5,1.0,0.1,0.0
2,201000,0.1836598756610681,0.0414991947202633,2.3279660893791028,0.2477147020739034,0.22,152,0.0646318209383666,-0.1484286917706712,0.0394736842105263,1.02,-0.0431051448286068,0.3049835997835932,3.04,social,2.5,800,0.1,0.02,0.01,0.05,0.1,0.0,10,120,1.5,3.5,1.0,0.1,0.0
4,401000,0.1848840572246825,0.0452389405663931,2.3290289347541027,0.2410507936447903,0.33,155,-0.032913994824431,-0.2092195508911424,0.064516129032258,1.31,-0.0725174893860786,0.3154125109350522,3.1,social,2.5,800,0.1,0.02,0.01,0.05,0.1,0.0,10,120,1.5,3.5,1.0,0.1,0.0
7,701000,0.1816128353850113,0.0386185213178597,2.2876785559438044,0.2670801151919869,0.34,137,0.0893863286416731,-0.1008382641675852,0.0948905109489051,1.1,0.0211859739968857,0.2797355256341045,2.74,social,2.5,800,0.1,0.02,0.01,0.05,0.1,0.0,10,120,1.5,3.5,1.0,0.1,0.0
6,601000,0.1863558841155024,0.0462830677129873,2.3188501516617115,0.3138088648920301,0.31,165,-0.1166479099766575,0.0653606359375331,0.0848484848484848,1.42,-0.0431417541003514,0.280205840600384,3.3,social,2.5,800,0.1,0.02,0.01,0.05,0.1,0.0,10,120,1.5,3.5,1.0,0.1,0.0
10,1001000,0.1835994262279778,0.0473105426480069,2.307869487297657,0.2508578994440132,0.28,153,0.0662142671721855,-0.0503923364168851,0.0588235294117647,1.02,-0.0950766045303219,0.2879241099594853,3.06,social,2.5,800,0.1,0.02,0.01,0.05,0.1,0.0,10,120,1.5,3.5,1.0,0.1,0.0
13,1301000,0.1849594698266701,0.0482423117746827,2.314460906462565,0.2689945182165243,0.24,142,0.0433877137288358,0.2543780427193008,0.0704225352112676,0.935,0.0270970365492297,0.3191635242588703,2.84,social,2.5,800,0.1,0.02,0.01,0.05,0.1,0.0,10,120,1.5,3.5,1.0,0.1,0.0
11,1101000,0.18865770027945,0.0466932048471561,2.365336515546691,0.2584517214209496,0.2,155,-0.2712440393478083,0.1479648460000684,0.0580645161290322,0.96,-0.168482927722867,0.2965985950506954,3.1,social,2.5,800,0.1,0.02,0.01,0.05,0.1,0.0,10,120,1.5,3.5,1.0,0.1,0.0
12,1201000,0.1900971603419526,0.0516854952346302,2.3889620604980144,0.2587437968476205,0.23,120,-0.0904316001105858,0.068990601261844,0.075,0.885,-0.1577316677966102,0.3179475535465346,2.4,social,2.5,800,0.1,0.02,0.01,0.05,0.1,0.0,10,120,1.5,3.5,1.0,0.1,0.0
19,1901000,0.1937436475430607,0.04623913724919,2.4225692141328805,0.2983480546582912,0.25,140,-0.1313874710439185,-0.0639234735745107,0.0285714285714285,0.905,-0.056313954525728,0.2416515340074189,2.8,social,2.5,800,0.1,0.02,0.01,0.05,0.1,0.0,10,120,1.5,3.5,1.0,0.1,0.0
18,1801000,0.1806403572343746,0.0461186942198068,2.2824951617659948,0.2599399238649229,0.24,147,-0.1569305012862438,-0.0913693541769388,0.0476190476190476,1.085,-0.1231991083479394,0.2914089946667187,2.94,social,2.5,800,0.1,0.02,0.01,0.05,0.1,0.0,10,120,1.5,3.5,1.0,0.1,0.0
21,2101000,0.180719348405211,0.0472753572122004,2.2936216681045165,0.2556659187519494,0.29,141,0.0108413985157409,0.0317157029991379,0.1134751773049645,1.205,0.0594234839724092,0.2965010333600242,2.82,social,2.5,800,0.1,0.02,0.01,0.05,0.1,0.0,10,120,1.5,3.5,1.0,0.1,0.0
16,1601000,0.1866833087684351,0.0436858330353447,2.343502876542792,0.2637311210785008,0.24,153,-0.0745852554238064,-0.1554824983430404,0.0457516339869281,0.935,0.0018274524694541,0.2625377796313755,3.06,social,2.5,800,0.1,0.02,0.01,0.05,0.1,0.0,10,120,1.5,3.5,1.0,0.1,0.0
17,1701000,0.1779051243850575,0.0459654118548494,2.2495401882694988,0.2644382358308471,0.28,142,0.0134369983615084,0.1264908246649055,0.0985915492957746,1.15,-0.0172428980729659,0.3221758606614285,2.84,social,2.5,800,0.1,0.02,0.01,0.05,0.1,0.0,10,120,1.5,3.5,1.0,0.1,0.0
15,1501000,0.1814331222101256,0.0370081468785511,2.31103412878843,0.2413032519176925,0.24,167,-0.0572365231092246,-0.0220400245174873,0.0419161676646706,1.085,0.2004249164096837,0.2653208094824913,3.34,social,2.5,800,0.1,0.02,0.01,0.05,0.1,0.0,10,120,1.5,3.5,1.0,0.1,0.0
14,1401000,0.1898430857941678,0.0440301648252529,2.382811364623161,0.272148496077727,0.3,152,-0.0033970718954388,-0.0332532858455577,0.1184210526315789,1.245,-0.1554034557085609,0.2919636007068742,3.04,social,2.5,800,0.1,0.02,0.01,0.05,0.1,0.0,10,120,1.5,3.5,1.0,0.1,0.0
20,2001000,0.1861861446760706,0.0439726681466628,2.3545249338279697,0.3016420473895983,0.33,156,0.0488939919024715,-0.0730723608881105,0.0833333333333333,1.25,-0.1883421311909816,0.3117079238154768,3.12,social,2.5,800,0.1,0.02,0.01,0.05,0.1,0.0,10,120,1.5,3.5,1.0,0.1,0.0
